"subid","run","trial_number","block_type","congruence","trial_type","RT"
506,1,1,1,NA,2,0
506,1,2,1,NA,2,1.43566584587097
506,1,3,1,NA,2,0
506,1,4,1,NA,1,1.29227423667908
506,1,5,1,NA,2,0
506,1,6,1,NA,1,1.24437355995178
506,1,7,1,NA,2,0.695864200592041
506,1,8,1,NA,2,1.06832456588745
506,1,9,1,NA,2,0
506,1,10,1,NA,2,1.33288311958313
506,1,11,1,NA,1,0.968070268630981
506,1,12,1,NA,1,1.27864670753479
506,1,13,1,NA,2,1.18256521224976
506,1,14,1,NA,1,0
506,1,15,1,NA,2,0.99839973449707
506,1,16,1,NA,1,1.13012862205505
506,1,17,1,NA,2,1.19801044464111
506,1,18,1,NA,2,0
506,1,19,1,NA,2,1.01001811027527
506,1,20,1,NA,2,0.933194637298584
506,1,21,1,NA,2,1.42080426216125
506,1,22,1,NA,2,1.4574339389801
506,1,23,1,NA,1,0.941441059112549
506,1,24,1,NA,2,1.30477833747864
506,1,25,1,NA,2,0.981588125228882
506,1,26,1,NA,2,0.929610252380371
506,1,27,1,NA,1,1.50942969322205
506,1,28,1,NA,2,1.24176335334778
506,1,29,1,NA,2,1.42464423179626
506,1,30,1,NA,2,1.26484394073486
506,1,31,1,NA,2,1.77215838432312
506,1,32,1,NA,2,1.26693034172058
506,1,33,1,NA,2,0
506,1,34,1,NA,2,1.13192343711853
506,1,35,1,NA,2,0
506,1,36,1,NA,1,1.319411277771
506,1,37,1,NA,1,1.25105333328247
506,1,38,1,NA,2,1.15811681747437
506,1,39,1,NA,2,1.00605535507202
506,1,40,1,NA,2,0.978673696517944
506,1,41,1,NA,2,1.26533031463623
506,1,42,1,NA,2,1.01394152641296
506,1,43,1,NA,2,1.32165360450745
506,1,44,1,NA,2,0
506,1,45,1,NA,2,0
506,1,46,1,NA,2,0.90606427192688
506,1,47,1,NA,2,1.24672627449036
506,1,48,1,NA,2,1.09422659873962
506,1,49,1,NA,2,0.858908414840698
506,1,50,1,NA,2,1.07154655456543
506,1,51,1,NA,2,1.02699184417725
506,1,52,1,NA,1,0
506,1,53,1,NA,2,1.00750255584717
506,1,54,1,NA,2,0.931983470916748
506,1,55,1,NA,2,1.93543100357056
506,1,56,1,NA,2,1.5669322013855
506,1,57,1,NA,2,1.41964626312256
506,1,58,1,NA,2,1.2156035900116
506,1,59,1,NA,1,1.25606417655945
506,1,60,1,NA,2,0.875970602035522
506,2,1,1,1,2,1.40893626213074
506,2,2,1,1,2,1.20558619499207
506,2,3,1,1,2,1.17705512046814
506,2,4,1,1,2,1.35762310028076
506,2,5,1,1,1,0.993080377578735
506,2,6,1,1,2,0.916520357131958
506,2,7,1,1,2,1.2717022895813
506,2,8,1,1,2,0.876190185546875
506,2,9,1,1,2,1.34343719482422
506,2,10,1,1,2,0.994865417480469
506,2,11,1,1,2,1.09468531608582
506,2,12,1,1,2,0
506,2,13,1,1,1,1.33490324020386
506,2,14,1,1,2,0
506,2,15,1,1,2,1.03947639465332
506,2,16,1,1,2,1.22845339775085
506,2,17,1,1,1,1.67223072052002
506,2,18,1,1,2,1.10210943222046
506,2,19,1,1,2,0.982282638549805
506,2,20,1,1,1,1.53792214393616
506,2,21,1,1,2,1.30927276611328
506,2,22,1,1,1,1.11953663825989
506,2,23,1,1,2,1.41935300827026
506,2,24,1,1,2,1.10341811180115
506,2,25,1,1,1,1.68278503417969
506,2,26,1,1,2,0
506,2,27,1,1,1,0.890093088150024
506,2,28,1,1,2,0.877527236938477
506,2,29,1,1,2,1.01718950271606
506,2,30,1,1,2,1.22902035713196
506,2,31,1,1,2,1.5065062046051
506,2,32,1,1,2,1.16566824913025
506,2,33,1,1,2,1.82818651199341
506,2,34,1,1,2,0.935672521591187
506,2,35,1,1,2,1.04343056678772
506,2,36,1,1,2,1.34308266639709
506,2,37,1,1,1,1.59512901306152
506,2,38,1,1,2,1.71916723251343
506,2,39,1,1,2,1.26767563819885
506,2,40,1,1,2,1.23263216018677
506,2,41,1,1,2,1.67732691764832
506,2,42,1,1,2,1.25602054595947
506,2,43,1,1,2,1.20460939407349
506,2,44,1,1,1,0.936543703079224
506,2,45,1,1,2,1.42146015167236
506,2,46,1,1,2,1.12136054039001
506,2,47,1,1,2,0.982033729553223
506,2,48,1,1,2,1.31050443649292
506,2,49,1,1,2,1.18618369102478
506,2,50,1,1,2,0
506,2,51,1,1,2,0
506,2,52,1,1,2,1.3437032699585
506,2,53,1,1,1,1.22770071029663
506,2,54,1,1,2,0.983781099319458
506,2,55,1,1,1,1.94846963882446
506,2,56,1,1,2,1.00189542770386
506,2,57,1,1,2,1.43733763694763
506,2,58,1,1,1,1.74596548080444
506,2,59,1,1,2,0.918585777282715
506,2,60,1,1,2,1.2656512260437
506,3,1,1,NA,2,1.43560123443604
506,3,2,1,NA,1,0.863653421401978
506,3,3,1,NA,1,0.63573431968689
506,3,4,1,NA,2,1.08766150474548
506,3,5,1,NA,2,1.147625207901
506,3,6,1,NA,2,1.52818560600281
506,3,7,1,NA,2,0.699861288070679
506,3,8,1,NA,1,0.93524432182312
506,3,9,1,NA,2,1.53108358383179
506,3,10,1,NA,2,1.07188129425049
506,3,11,1,NA,2,1.21213555335999
506,3,12,1,NA,2,0.951489448547363
506,3,13,1,NA,2,1.81445670127869
506,3,14,1,NA,2,1.15505123138428
506,3,15,1,NA,2,1.37773013114929
506,3,16,1,NA,1,1.54244184494019
506,3,17,1,NA,1,0.890219449996948
506,3,18,1,NA,2,0.789321422576904
506,3,19,1,NA,1,0.961607217788696
506,3,20,1,NA,2,1.08565711975098
506,3,21,1,NA,2,1.39364814758301
506,3,22,1,NA,2,0.862404823303223
506,3,23,1,NA,2,0.970442533493042
506,3,24,1,NA,1,1.68655252456665
506,3,25,1,NA,1,0.835137367248535
506,3,26,1,NA,2,0.975874185562134
506,3,27,1,NA,2,1.0509774684906
506,3,28,1,NA,2,1.25090312957764
506,3,29,1,NA,2,1.63091850280762
506,3,30,1,NA,2,0
506,3,31,1,NA,1,0.952204465866089
506,3,32,1,NA,2,1.10437345504761
506,3,33,1,NA,2,0.876404285430908
506,3,34,1,NA,2,0
506,3,35,1,NA,2,0.843571662902832
506,3,36,1,NA,2,1.10640931129456
506,3,37,1,NA,1,1.1340754032135
506,3,38,1,NA,2,1.02063155174255
506,3,39,1,NA,2,1.24509644508362
506,3,40,1,NA,2,1.00873398780823
506,3,41,1,NA,2,0.892558574676514
506,3,42,1,NA,2,1.54511094093323
506,3,43,1,NA,2,1.40589356422424
506,3,44,1,NA,2,1.03806233406067
506,3,45,1,NA,1,1.37063813209534
506,3,46,1,NA,2,1.50293612480164
506,3,47,1,NA,2,0
506,3,48,1,NA,2,1.3101053237915
506,3,49,1,NA,1,0.941314220428467
506,3,50,1,NA,2,1.08927726745605
506,3,51,1,NA,2,1.27199411392212
506,3,52,1,NA,2,1.18108034133911
506,3,53,1,NA,2,0.953616380691528
506,3,54,1,NA,2,0
506,3,55,1,NA,2,0.92591404914856
506,3,56,1,NA,2,0.913394689559937
506,3,57,1,NA,2,0.920295000076294
506,3,58,1,NA,2,1.32027173042297
506,3,59,1,NA,2,1.05179810523987
506,3,60,1,NA,2,1.00741171836853
506,4,1,2,0,1,0.859657287597656
506,4,2,2,0,1,1.13555431365967
506,4,3,2,0,2,1.01884317398071
506,4,4,2,0,1,1.36639833450317
506,4,5,2,0,1,0.985780715942383
506,4,6,2,0,1,1.02099609375
506,4,7,2,0,1,1.04981708526611
506,4,8,2,0,1,1.39810252189636
506,4,9,2,0,1,0.898057460784912
506,4,10,2,0,1,0.877625226974487
506,4,11,2,0,1,0.962206363677979
506,4,12,2,0,1,0.870172500610352
506,4,13,2,0,1,0.890276193618774
506,4,14,2,0,1,0.838886260986328
506,4,15,2,0,1,1.02751135826111
506,4,16,2,0,1,0.791448593139648
506,4,17,2,0,1,0.714930057525635
506,4,18,2,0,1,0
506,4,19,2,0,1,0.930991649627686
506,4,20,2,0,1,0.815601587295532
506,4,21,2,0,1,0.731847286224365
506,4,22,2,0,2,1.15992331504822
506,4,23,2,0,1,1.74003553390503
506,4,24,2,0,1,1.34341931343079
506,4,25,2,0,1,0
506,4,26,2,0,1,0.910983562469482
506,4,27,2,0,2,1.42897200584412
506,4,28,2,0,1,1.2416934967041
506,4,29,2,0,1,1.1264386177063
506,4,30,2,0,2,1.2350640296936
506,4,31,2,0,1,1.95115733146667
506,4,32,2,0,1,1.04355025291443
506,4,33,2,0,1,1.15916538238525
506,4,34,2,0,2,1.6673572063446
506,4,35,2,0,1,1.04660892486572
506,4,36,2,0,1,1.09073662757874
506,4,37,2,0,1,0.88750433921814
506,4,38,2,0,2,1.41870546340942
506,4,39,2,0,1,0.85542368888855
506,4,40,2,0,1,0
506,4,41,2,0,2,1.42346835136414
506,4,42,2,0,2,1.68423342704773
506,4,43,2,0,2,1.13258743286133
506,4,44,2,0,1,1.40807723999023
506,4,45,2,0,1,1.03580689430237
506,4,46,2,0,1,0.9433913230896
506,4,47,2,0,1,0.839457511901855
506,4,48,2,0,2,1.26908922195435
506,4,49,2,0,2,0
506,4,50,2,0,1,1.52829742431641
506,4,51,2,0,1,0.860445022583008
506,4,52,2,0,2,1.27995824813843
506,4,53,2,0,1,0.923385143280029
506,4,54,2,0,1,0.821102619171143
506,4,55,2,0,1,0.752163648605347
506,4,56,2,0,1,1.19600749015808
506,4,57,2,0,1,1.05455732345581
506,4,58,2,0,1,0.971474647521973
506,4,59,2,0,1,0.694595336914062
506,4,60,2,0,1,0.795552730560303
508,1,1,2,NA,1,0
508,1,2,2,NA,1,1.18173837661743
508,1,3,2,NA,1,0.769977331161499
508,1,4,2,NA,1,0.558864593505859
508,1,5,2,NA,2,1.43565058708191
508,1,6,2,NA,1,1.21627044677734
508,1,7,2,NA,1,0.620751857757568
508,1,8,2,NA,1,0.817559242248535
508,1,9,2,NA,1,0.981672286987305
508,1,10,2,NA,1,0.738356351852417
508,1,11,2,NA,1,0.678427457809448
508,1,12,2,NA,2,1.04241561889648
508,1,13,2,NA,1,1.73509049415588
508,1,14,2,NA,1,1.05048656463623
508,1,15,2,NA,1,0.722107172012329
508,1,16,2,NA,1,0.789274454116821
508,1,17,2,NA,1,0.796888589859009
508,1,18,2,NA,1,0.70509934425354
508,1,19,2,NA,1,0.796439409255981
508,1,20,2,NA,1,0.880741596221924
508,1,21,2,NA,1,0.881331205368042
508,1,22,2,NA,1,1.52331352233887
508,1,23,2,NA,1,0.902457237243652
508,1,24,2,NA,1,1.19459795951843
508,1,25,2,NA,1,0.693949222564697
508,1,26,2,NA,2,1.11820387840271
508,1,27,2,NA,2,0.969667196273804
508,1,28,2,NA,1,1.16560363769531
508,1,29,2,NA,1,0.860433578491211
508,1,30,2,NA,2,0.808416604995728
508,1,31,2,NA,1,1.44890403747559
508,1,32,2,NA,1,0.835893154144287
508,1,33,2,NA,1,0.992788314819336
508,1,34,2,NA,1,0.925521612167358
508,1,35,2,NA,2,1.71724247932434
508,1,36,2,NA,1,0.737760782241821
508,1,37,2,NA,1,0.625990390777588
508,1,38,2,NA,2,0.941393613815308
508,1,39,2,NA,1,0.680804014205933
508,1,40,2,NA,1,1.86885643005371
508,1,41,2,NA,1,0.948195457458496
508,1,42,2,NA,2,0.831923246383667
508,1,43,2,NA,1,1.25213241577148
508,1,44,2,NA,1,0.719362497329712
508,1,45,2,NA,2,0.866693496704102
508,1,46,2,NA,1,0.974826574325562
508,1,47,2,NA,1,0.734412431716919
508,1,48,2,NA,1,0.802256107330322
508,1,49,2,NA,1,0.830838441848755
508,1,50,2,NA,1,1.45918369293213
508,1,51,2,NA,1,0.742581605911255
508,1,52,2,NA,1,0
508,1,53,2,NA,2,1.00346946716309
508,1,54,2,NA,1,0.800082206726074
508,1,55,2,NA,1,0.655142307281494
508,1,56,2,NA,2,1.31115221977234
508,1,57,2,NA,2,0.806638479232788
508,1,58,2,NA,1,1.29018640518188
508,1,59,2,NA,1,1.43770003318787
508,1,60,2,NA,1,0.681742906570435
508,2,1,2,1,1,0
508,2,2,2,1,1,1.04294896125793
508,2,3,2,1,1,0.878572225570679
508,2,4,2,1,1,0.930567502975464
508,2,5,2,1,1,0.805911064147949
508,2,6,2,1,2,1.20154547691345
508,2,7,2,1,1,1.10954833030701
508,2,8,2,1,1,1.18559122085571
508,2,9,2,1,1,0.580845594406128
508,2,10,2,1,1,0.728913307189941
508,2,11,2,1,2,0.980473279953003
508,2,12,2,1,1,1.65588283538818
508,2,13,2,1,2,1.5477979183197
508,2,14,2,1,1,0
508,2,15,2,1,2,1.40404343605042
508,2,16,2,1,1,1.07265281677246
508,2,17,2,1,1,0.684736490249634
508,2,18,2,1,1,0.59860110282898
508,2,19,2,1,1,0.754871368408203
508,2,20,2,1,1,1.11081027984619
508,2,21,2,1,1,0.786111831665039
508,2,22,2,1,1,0.911087512969971
508,2,23,2,1,1,0.699716567993164
508,2,24,2,1,1,0
508,2,25,2,1,1,0.651170253753662
508,2,26,2,1,1,0.991787195205688
508,2,27,2,1,1,0.715194463729858
508,2,28,2,1,1,1.07117509841919
508,2,29,2,1,1,0.885154962539673
508,2,30,2,1,1,0.913822174072266
508,2,31,2,1,1,1.17314743995667
508,2,32,2,1,2,1.31246113777161
508,2,33,2,1,2,1.24518013000488
508,2,34,2,1,1,1.77776432037354
508,2,35,2,1,1,1.13007068634033
508,2,36,2,1,2,1.07011032104492
508,2,37,2,1,1,1.00197553634644
508,2,38,2,1,2,0.838142395019531
508,2,39,2,1,2,0
508,2,40,2,1,1,0.80033016204834
508,2,41,2,1,1,1.01470327377319
508,2,42,2,1,1,1.0257842540741
508,2,43,2,1,1,0.751026153564453
508,2,44,2,1,1,0.552956819534302
508,2,45,2,1,1,0.548638343811035
508,2,46,2,1,1,0.504380226135254
508,2,47,2,1,1,1.75707912445068
508,2,48,2,1,1,0.744438171386719
508,2,49,2,1,1,0
508,2,50,2,1,2,0.923233509063721
508,2,51,2,1,1,0.799756288528442
508,2,52,2,1,1,1.131343126297
508,2,53,2,1,1,0.912009239196777
508,2,54,2,1,2,1.01241850852966
508,2,55,2,1,1,1.20222234725952
508,2,56,2,1,1,1.39457106590271
508,2,57,2,1,1,0.720463514328003
508,2,58,2,1,1,0.803591251373291
508,2,59,2,1,2,1.33524417877197
508,2,60,2,1,1,0.779725074768066
508,3,1,2,NA,1,0.670831441879272
508,3,2,2,NA,1,0.875379323959351
508,3,3,2,NA,1,0.647497653961182
508,3,4,2,NA,1,0.676248550415039
508,3,5,2,NA,2,1.57664132118225
508,3,6,2,NA,1,0.693554401397705
508,3,7,2,NA,2,0.89821720123291
508,3,8,2,NA,2,1.02993845939636
508,3,9,2,NA,1,0.673709392547607
508,3,10,2,NA,1,0.573031187057495
508,3,11,2,NA,1,0.673498392105103
508,3,12,2,NA,1,0.910487651824951
508,3,13,2,NA,1,0.670111417770386
508,3,14,2,NA,1,0.754376411437988
508,3,15,2,NA,2,0.98153567314148
508,3,16,2,NA,2,0.736958503723145
508,3,17,2,NA,1,1.27997183799744
508,3,18,2,NA,1,0.964608669281006
508,3,19,2,NA,1,0.884854078292847
508,3,20,2,NA,1,1.64086961746216
508,3,21,2,NA,1,0.588247299194336
508,3,22,2,NA,1,0.904368162155151
508,3,23,2,NA,1,1.06097674369812
508,3,24,2,NA,1,0.769052505493164
508,3,25,2,NA,1,0.736591100692749
508,3,26,2,NA,1,0.804222106933594
508,3,27,2,NA,2,1.04290413856506
508,3,28,2,NA,1,0.951640844345093
508,3,29,2,NA,1,0.87630558013916
508,3,30,2,NA,1,0.880962371826172
508,3,31,2,NA,1,0.81637716293335
508,3,32,2,NA,1,0.828614234924316
508,3,33,2,NA,1,0.775694847106934
508,3,34,2,NA,1,0.743005037307739
508,3,35,2,NA,2,0.970962524414062
508,3,36,2,NA,1,0.814314842224121
508,3,37,2,NA,1,0.686639070510864
508,3,38,2,NA,1,0.55510950088501
508,3,39,2,NA,1,0.679394245147705
508,3,40,2,NA,2,1.01052618026733
508,3,41,2,NA,1,0.694854259490967
508,3,42,2,NA,1,0.794025182723999
508,3,43,2,NA,1,0.982385635375977
508,3,44,2,NA,1,0.745789766311646
508,3,45,2,NA,1,0.965834856033325
508,3,46,2,NA,1,1.10066509246826
508,3,47,2,NA,1,1.0446925163269
508,3,48,2,NA,2,1.113605260849
508,3,49,2,NA,2,1.19769740104675
508,3,50,2,NA,1,1.01386737823486
508,3,51,2,NA,1,0.837368488311768
508,3,52,2,NA,1,1.18109178543091
508,3,53,2,NA,1,0.896473407745361
508,3,54,2,NA,1,1.04445886611938
508,3,55,2,NA,1,0.65556263923645
508,3,56,2,NA,2,1.31581854820251
508,3,57,2,NA,1,0.816606283187866
508,3,58,2,NA,1,0.900075435638428
508,3,59,2,NA,2,0.836252689361572
508,3,60,2,NA,1,1.31513857841492
508,4,1,1,0,1,0
508,4,2,1,0,2,0.903500080108643
508,4,3,1,0,2,1.39613080024719
508,4,4,1,0,2,0.720246076583862
508,4,5,1,0,1,0.764911413192749
508,4,6,1,0,2,1.00929045677185
508,4,7,1,0,2,0.828843355178833
508,4,8,1,0,2,1.10431098937988
508,4,9,1,0,2,0.955749034881592
508,4,10,1,0,1,0.879616260528564
508,4,11,1,0,2,1.07638120651245
508,4,12,1,0,2,0.682678461074829
508,4,13,1,0,2,0.807055234909058
508,4,14,1,0,2,0.65102219581604
508,4,15,1,0,1,1.35940623283386
508,4,16,1,0,2,0.916993618011475
508,4,17,1,0,2,0.88160228729248
508,4,18,1,0,2,0.749330043792725
508,4,19,1,0,2,0.649000644683838
508,4,20,1,0,2,0.804872512817383
508,4,21,1,0,2,0.843081474304199
508,4,22,1,0,2,0.633375883102417
508,4,23,1,0,2,1.18996143341064
508,4,24,1,0,2,1.05051040649414
508,4,25,1,0,2,0.946909666061401
508,4,26,1,0,2,0.895625352859497
508,4,27,1,0,1,0.947870969772339
508,4,28,1,0,2,0.871264934539795
508,4,29,1,0,2,1.17468452453613
508,4,30,1,0,1,0.809978246688843
508,4,31,1,0,2,0.749555349349976
508,4,32,1,0,2,0.760983943939209
508,4,33,1,0,1,0.796126365661621
508,4,34,1,0,2,0.804304122924805
508,4,35,1,0,2,0.767528295516968
508,4,36,1,0,2,1.37990498542786
508,4,37,1,0,1,0.719903469085693
508,4,38,1,0,2,0.835248470306396
508,4,39,1,0,2,0.718793392181396
508,4,40,1,0,2,0.771111249923706
508,4,41,1,0,2,1.23953533172607
508,4,42,1,0,2,0.876189470291138
508,4,43,1,0,2,1.01248121261597
508,4,44,1,0,2,0.921462297439575
508,4,45,1,0,2,0.933537483215332
508,4,46,1,0,1,1.05913043022156
508,4,47,1,0,2,1.43995332717896
508,4,48,1,0,2,0.683629035949707
508,4,49,1,0,2,0.967549800872803
508,4,50,1,0,1,0.884124040603638
508,4,51,1,0,2,0.939659595489502
508,4,52,1,0,2,1.55139851570129
508,4,53,1,0,2,0.972435474395752
508,4,54,1,0,2,1.1684353351593
508,4,55,1,0,2,0.796298027038574
508,4,56,1,0,1,0.640536308288574
508,4,57,1,0,2,1.12394571304321
508,4,58,1,0,2,1.17294764518738
508,4,59,1,0,1,0.783948183059692
508,4,60,1,0,2,1.0285472869873
510,1,1,1,NA,2,0
510,1,2,1,NA,2,1.28406071662903
510,1,3,1,NA,2,1.01554346084595
510,1,4,1,NA,2,1.31638336181641
510,1,5,1,NA,2,0.960613250732422
510,1,6,1,NA,2,1.08397483825684
510,1,7,1,NA,2,0.944814443588257
510,1,8,1,NA,1,0.997408628463745
510,1,9,1,NA,2,0.88978910446167
510,1,10,1,NA,2,0.926162004470825
510,1,11,1,NA,2,0.946733474731445
510,1,12,1,NA,2,0.858338356018066
510,1,13,1,NA,2,0.934308290481567
510,1,14,1,NA,2,0.778174638748169
510,1,15,1,NA,2,0.905415534973145
510,1,16,1,NA,2,0.776716470718384
510,1,17,1,NA,2,0.948419094085693
510,1,18,1,NA,2,0.937085390090942
510,1,19,1,NA,2,0.868969440460205
510,1,20,1,NA,2,0.996093034744263
510,1,21,1,NA,2,1.11952638626099
510,1,22,1,NA,2,0.907528877258301
510,1,23,1,NA,1,0.85617208480835
510,1,24,1,NA,2,0.875670671463013
510,1,25,1,NA,1,0.966830730438232
510,1,26,1,NA,2,0.867610216140747
510,1,27,1,NA,2,1.56702041625977
510,1,28,1,NA,2,0.870748281478882
510,1,29,1,NA,2,0.882727861404419
510,1,30,1,NA,2,0
510,1,31,1,NA,2,0.954283475875854
510,1,32,1,NA,2,1.17482995986938
510,1,33,1,NA,2,0.986963510513306
510,1,34,1,NA,2,0
510,1,35,1,NA,1,1.00273823738098
510,1,36,1,NA,1,0.810092687606812
510,1,37,1,NA,2,0
510,1,38,1,NA,1,0.897379159927368
510,1,39,1,NA,2,0.860952377319336
510,1,40,1,NA,2,1.41188097000122
510,1,41,1,NA,2,0.964160442352295
510,1,42,1,NA,1,0.847987413406372
510,1,43,1,NA,2,1.04817008972168
510,1,44,1,NA,2,0.852332592010498
510,1,45,1,NA,2,0.680444478988647
510,1,46,1,NA,1,1.40703868865967
510,1,47,1,NA,2,0.883968114852905
510,1,48,1,NA,1,0.952739715576172
510,1,49,1,NA,2,1.06925749778748
510,1,50,1,NA,2,0.952623128890991
510,1,51,1,NA,2,1.10482859611511
510,1,52,1,NA,2,0.973055362701416
510,1,53,1,NA,1,0
510,1,54,1,NA,2,0.980514287948608
510,1,55,1,NA,2,1.19318652153015
510,1,56,1,NA,2,0.97260046005249
510,1,57,1,NA,2,1.15205550193787
510,1,58,1,NA,1,1.05929851531982
510,1,59,1,NA,1,0.912164449691772
510,1,60,1,NA,2,0.98876953125
510,2,1,2,0,1,0.788942098617554
510,2,2,2,0,1,0.809788465499878
510,2,3,2,0,1,0.9815993309021
510,2,4,2,0,1,0.977981567382812
510,2,5,2,0,1,0.813904047012329
510,2,6,2,0,1,0.874748706817627
510,2,7,2,0,1,0.918828248977661
510,2,8,2,0,1,0.954206228256226
510,2,9,2,0,1,1.42221546173096
510,2,10,2,0,1,1.11364722251892
510,2,11,2,0,1,0.924696445465088
510,2,12,2,0,1,1.04850673675537
510,2,13,2,0,2,1.07721972465515
510,2,14,2,0,1,0.976780414581299
510,2,15,2,0,1,1.01325154304504
510,2,16,2,0,2,1.41012620925903
510,2,17,2,0,1,0.910143136978149
510,2,18,2,0,1,1.81342267990112
510,2,19,2,0,1,1.60958170890808
510,2,20,2,0,1,1.11699223518372
510,2,21,2,0,1,0.985685586929321
510,2,22,2,0,1,1.26227140426636
510,2,23,2,0,1,0.764868974685669
510,2,24,2,0,1,0.784996032714844
510,2,25,2,0,1,1.24253845214844
510,2,26,2,0,1,0.949896574020386
510,2,27,2,0,1,0.818532228469849
510,2,28,2,0,2,1.19026041030884
510,2,29,2,0,1,0.922356367111206
510,2,30,2,0,1,1.31774520874023
510,2,31,2,0,1,0.819006204605103
510,2,32,2,0,1,0.868112325668335
510,2,33,2,0,1,0.935024261474609
510,2,34,2,0,1,0
510,2,35,2,0,1,0.837955474853516
510,2,36,2,0,1,0.835075378417969
510,2,37,2,0,2,1.0637195110321
510,2,38,2,0,1,0.907281398773193
510,2,39,2,0,2,1.20008420944214
510,2,40,2,0,1,0.883280515670776
510,2,41,2,0,2,1.24124121665955
510,2,42,2,0,1,0.885162353515625
510,2,43,2,0,1,1.06499910354614
510,2,44,2,0,1,0.645874261856079
510,2,45,2,0,2,0
510,2,46,2,0,1,0
510,2,47,2,0,1,0
510,2,48,2,0,1,0.886197328567505
510,2,49,2,0,1,0.978337287902832
510,2,50,2,0,1,0.990982532501221
510,2,51,2,0,1,0.898501396179199
510,2,52,2,0,1,0.750370025634766
510,2,53,2,0,1,0.849755525588989
510,2,54,2,0,2,0.853730201721191
510,2,55,2,0,2,0.913884162902832
510,2,56,2,0,2,0
510,2,57,2,0,2,0.900535583496094
510,2,58,2,0,1,0.945192337036133
510,2,59,2,0,1,0.968858242034912
510,2,60,2,0,2,1.04420113563538
510,3,1,2,NA,1,0.90317440032959
510,3,2,2,NA,1,0.731871128082275
510,3,3,2,NA,1,0.903899669647217
